epoch,loss,lr,mae,val_loss,val_mae
0,509512.95765625,0.001,670.80646,483945.5921875,653.6976
1,484901.56609375,0.001,652.18945,454627.8003125,630.87885
2,449749.673828125,0.001,624.58673,414894.37265625,598.56714
3,405369.70765625,0.001,588.0536,367651.008125,557.71674
4,354901.1696875,0.001,543.3783,316086.7075,509.40363
5,301754.9760546875,0.001,491.9888,263824.8778125,455.23303
6,249653.07625,0.001,435.77664,214467.279765625,397.3491
7,201740.5880078125,0.001,377.2733,170567.2074609375,340.06516
8,160395.1223046875,0.001,324.47083,134148.6856640625,293.7001
9,126908.2775,0.001,283.82764,105901.02060546874,259.9817
10,101643.561328125,0.001,255.61064,85567.329609375,237.73958
11,83994.6891796875,0.001,237.05563,72133.37345703125,223.0416
12,72615.60918945313,0.001,224.62074,64123.8463671875,213.09976
13,65744.64442382813,0.001,214.7745,58846.5209765625,200.53197
14,59655.947470703126,0.001,201.17288,53365.17943359375,192.24164
15,53341.3028515625,0.001,186.64339,51897.18134765625,190.47098
16,51168.30595703125,0.001,183.01312,48360.78783203125,183.60336
17,34337.54131347656,0.001,137.66382,20547.09748779297,93.0122
18,19440.191654052735,0.001,84.72865,14529.671900634765,70.66113
19,14362.94590270996,0.001,69.89034,10847.272857055665,60.15713
20,10869.48670715332,0.001,59.524464,8090.2885070800785,50.0524
21,9107.334338378907,0.001,57.66414,6223.114812316894,42.51972
22,6532.958594970703,0.001,44.391563,4907.800705871582,38.008457
23,5205.490694885254,0.001,39.69162,4109.949708862305,36.50175
24,5085.801423797608,0.001,44.491116,3310.9439181518555,32.041756
25,3479.515736846924,0.001,32.418076,2678.178483581543,28.310263
26,9114.16395111084,0.001,64.27134,4668.786716308594,53.78478
27,3404.238790588379,0.001,38.29237,2299.5879443359377,30.30072
28,2536.35862197876,0.001,31.370678,3785.7597924804686,49.5347
29,2943.367989807129,0.001,36.082344,1726.499440612793,25.75525
30,2614.8090495300294,0.001,35.33758,1563.8025842285156,24.85244
31,1913.4081159973146,0.001,28.73639,1375.012911682129,22.266247
32,1770.8934301757813,0.001,27.380997,1724.389994506836,28.113565
33,1965.7989247131347,0.001,30.184193,1179.4684490966797,21.41205
34,1401.0837837219237,0.001,24.430975,2760.653417663574,40.494183
35,1461.75369140625,0.001,25.806032,1854.8839935302735,33.421806
36,1303.6185884094239,0.001,24.164822,1037.6728918457031,21.312538
37,1818.2166181945802,0.001,29.885706,1213.1203607177733,23.780973
38,2550.0170921325685,0.001,34.251194,952.55001953125,19.720707
39,1050.6239698791503,0.001,21.398998,900.0361822509766,19.290281
40,1027.260128631592,0.001,21.379452,872.6613104248047,19.184107
41,1057.2315328979491,0.001,22.12094,1276.233829345703,26.91349
42,1980.8306533813477,0.001,31.843403,2603.4142684936523,37.29123
43,1380.9338038635253,0.001,25.367018,888.3388275146484,20.643507
44,905.7019526672364,0.001,20.063862,831.7827651977539,19.025757
45,1001.2167395019532,0.001,21.867413,837.5941418457031,19.775354
46,1027.8452502441405,0.001,22.333948,1321.4509573364257,26.772278
47,1533.8899555969238,0.001,27.636826,894.3195062255859,21.3273
48,1226.7051512145997,0.001,24.26572,808.9456451416015,19.478323
49,946.1100044250488,0.001,21.29457,1032.6720764160157,22.926027
50,1823.7691006469727,0.001,31.439388,1546.2328814697266,31.440596
51,1101.889037322998,0.001,23.49753,909.0044631958008,21.868172
52,844.7132513427734,0.001,19.717297,837.0915301513672,20.46456
53,945.0415760803222,0.001,21.433405,915.8789956665039,22.115496
54,781.4675682067871,0.000100000005,18.597498,736.7281991577148,18.049282
55,773.8411248779297,0.000100000005,18.43912,736.8953033447266,18.121332
56,773.8150834655762,0.000100000005,18.452906,735.4943173217773,18.049543
57,771.7315534973145,0.000100000005,18.421295,734.5431704711914,18.079132
58,770.9357138061523,0.000100000005,18.41024,736.9176760864258,18.19606
59,770.9357788085938,0.000100000005,18.42194,734.810466003418,18.043533
60,769.6651403808594,0.000100000005,18.404922,731.8815231323242,18.025068
61,769.1132859802246,0.000100000005,18.405907,732.0274560546875,17.995275
62,768.2056962585449,0.000100000005,18.394424,730.7696987915039,17.99965
63,767.3898675537109,0.000100000005,18.39183,735.192790222168,18.234827
64,766.7174664306641,0.000100000005,18.39158,728.3917364501954,18.002954
65,764.9222947692871,0.000100000005,18.36531,727.8741000366211,18.012997
66,763.9654570007324,0.000100000005,18.352377,729.6987469482422,18.10926
67,764.5762818908692,0.000100000005,18.382885,725.6840454101563,17.957073
68,762.2083212280273,0.000100000005,18.336761,724.4688342285157,17.957222
69,763.2642002868653,0.000100000005,18.379732,723.766484375,17.938524
70,760.5688299560547,0.000100000005,18.330431,731.8531951904297,18.274906
71,758.8545486450196,0.000100000005,18.31185,728.2044961547851,18.18395
72,757.0908290100098,0.000100000005,18.28428,722.4843063354492,18.032524
73,759.1644383239747,0.000100000005,18.349714,725.760537109375,17.96708
74,755.9424151611328,0.000100000005,18.292973,725.3596340942382,17.990187
75,760.4684519958496,0.000100000005,18.402777,718.6020422363281,17.878645
76,756.4560725402832,0.000100000005,18.331816,717.1608645629883,17.87022
77,754.9323248291016,0.000100000005,18.317661,729.9635317993165,18.086103
78,758.0769012451171,0.000100000005,18.39984,713.6268118286133,17.872408
79,752.9666687011719,0.000100000005,18.29879,717.8934942626953,17.880348
80,751.6720468139648,0.000100000005,18.286236,736.0760662841797,18.538006
81,749.9006205749512,0.000100000005,18.260714,731.9274765014649,18.186062
82,758.9760972595215,0.000100000005,18.474056,719.3013940429687,17.942123
83,747.6696919250488,0.000100000005,18.236227,742.9090093994141,18.816185
84,742.7556799316407,1.0000001e-05,18.136786,707.7372399902343,17.792622
85,741.0515409851074,1.0000001e-05,18.092693,707.5978039550781,17.775032
86,740.9077821350097,1.0000001e-05,18.09159,707.6416760253907,17.762823
87,741.1496939086915,1.0000001e-05,18.098536,707.2525241088867,17.778238
88,740.5083555603028,1.0000001e-05,18.085636,707.5928924560546,17.75502
89,740.5601844787598,1.0000001e-05,18.087044,708.667998046875,17.766304
90,740.6110069274903,1.0000001e-05,18.088814,706.9973965454102,17.78415
91,740.7403578186036,1.0000001e-05,18.095354,706.6766540527344,17.76606
92,740.149856262207,1.0000001e-05,18.081478,707.8132263183594,17.833632
93,740.3522352600098,1.0000001e-05,18.090794,706.519748840332,17.760103
94,740.4259786987304,1.0000001e-05,18.096777,707.1530212402344,17.76382
95,739.9096551513671,1.0000001e-05,18.084457,706.1694320678711,17.746847
96,740.0713453674316,1.0000001e-05,18.08785,706.3717977905274,17.778984
97,740.8160575866699,1.0000001e-05,18.11197,709.0958203125,17.9054
98,739.2414384460449,1.0000001e-05,18.078266,706.5042892456055,17.818773
99,738.9793621063233,1.0000001e-05,18.073515,705.7037942504883,17.73668
100,738.9182022094726,1.0000001e-05,18.07043,708.2702151489258,17.879984
101,738.9699867248535,1.0000001e-05,18.080873,705.4900875854493,17.796963
102,738.9839283752441,1.0000001e-05,18.07843,705.3456506347657,17.786322
103,738.4689665222168,1.0000001e-05,18.070755,704.4551498413086,17.749525
104,738.1568354797363,1.0000001e-05,18.069244,704.3970986938476,17.730005
105,737.9244889831543,1.0000001e-05,18.063717,704.134665222168,17.730808
106,737.2097506713867,1.0000001e-05,18.049362,704.1837789916992,17.75734
107,737.9473243713379,1.0000001e-05,18.071796,704.0672732543945,17.718739
108,737.2343151855468,1.0000001e-05,18.053787,703.4815255737304,17.739954
109,737.6685729980469,1.0000001e-05,18.068512,704.1280795288086,17.72367
110,736.9230018615723,1.0000001e-05,18.054512,703.0181515502929,17.72257
111,736.3441716003418,1.0000001e-05,18.044785,703.7140811157227,17.777847
112,736.7803562927246,1.0000001e-05,18.058836,707.8294491577149,17.762354
113,736.4076766967773,1.0000001e-05,18.048677,702.5966180419922,17.727072
114,735.9054782104492,1.0000001e-05,18.042843,702.4406521606445,17.696953
115,735.5117811584473,1.0000001e-05,18.035585,702.1670007324219,17.706228
116,735.8034024047852,1.0000001e-05,18.044586,703.110873413086,17.715216
117,735.7937310791016,1.0000001e-05,18.046223,701.6449737548828,17.715017
118,735.17486328125,1.0000001e-05,18.036236,702.4741638183593,17.762564
119,734.4457591247559,1.0000001e-05,18.020084,701.2630816650391,17.718185
120,734.8746279907226,1.0000001e-05,18.032312,701.5190341186524,17.707533
121,733.9394282531738,1.0000001e-05,18.015053,701.4256491088868,17.693108
122,734.4347795104981,1.0000001e-05,18.026926,703.7850048828125,17.825813
123,734.771049041748,1.0000001e-05,18.037685,700.4089929199218,17.688213
124,733.5005598449707,1.0000001e-05,18.011778,700.2380502319336,17.707628
125,733.4241259765626,1.0000001e-05,18.01109,700.0040664672852,17.696512
126,733.4964180755616,1.0000001e-05,18.011707,700.2362881469727,17.73096
127,733.2068171691894,1.0000001e-05,18.012703,699.7345260620117,17.70402
128,733.0381880187988,1.0000001e-05,18.009035,699.775114440918,17.670956
129,732.7427729797363,1.0000001e-05,18.003445,699.3666485595703,17.700619
130,732.6416397094727,1.0000001e-05,18.004068,699.2447778320312,17.6687
131,732.5896533203126,1.0000001e-05,18.003683,700.2082345581055,17.705093
132,732.4954241943359,1.0000001e-05,18.008734,700.3321484375,17.75601
133,732.087485961914,1.0000001e-05,17.998865,700.4480450439453,17.761078
134,731.5887742614746,1.0000001e-05,17.98872,698.4975427246094,17.672056
135,731.4733757019043,1.0000001e-05,17.991491,698.2706750488281,17.656874
136,731.7346325683594,1.0000001e-05,17.997604,699.4309860229492,17.738014
137,732.2235102844238,1.0000001e-05,18.011782,698.6803067016601,17.697744
138,731.0300727844239,1.0000001e-05,17.982689,699.1351849365234,17.728552
139,731.0339350891113,1.0000001e-05,17.985083,698.8595501708984,17.73551
140,730.432667388916,1.0000001e-05,17.974327,698.83978515625,17.66715
141,729.8241385650634,1.0000001e-06,17.96318,697.3773580932617,17.663904
142,729.7161633300781,1.0000001e-06,17.959578,697.4161575317382,17.670147
143,729.728180847168,1.0000001e-06,17.957632,697.3661987304688,17.668095
144,729.7668040466309,1.0000001e-06,17.962057,697.3227828979492,17.662617
145,729.7319839477539,1.0000001e-06,17.959673,697.3054690551758,17.662918
146,729.7396667480468,1.0000001e-06,17.958855,697.276567993164,17.66108
147,729.6566569519043,1.0000001e-06,17.959059,697.3382730102539,17.669828
148,729.6672203063965,1.0000001e-06,17.958506,697.381301574707,17.674362
149,729.6577313232422,1.0000001e-06,17.960382,697.2210305786133,17.657866
