epoch,loss,lr,mae,val_loss,val_mae
0,506774.19953125,0.001,668.6731,471265.5584375,643.9117
1,463992.70390625,0.001,635.937,429073.34921875,610.2836
2,423881.0728125,0.001,603.5925,391297.073125,578.5206
3,387650.9896875,0.001,572.7898,358070.83421875,549.0573
4,354436.32984375,0.001,543.03766,325577.200625,518.62787
5,322739.8463671875,0.001,513.002,295919.35328125,489.20197
6,293521.9248046875,0.001,483.6986,267897.963203125,459.66388
7,263923.994921875,0.001,452.0458,237057.134609375,424.78836
8,234126.7058203125,0.001,417.79996,210558.325390625,392.39792
9,209021.5521875,0.001,386.7563,188440.402890625,363.5301
10,188020.5673046875,0.001,359.66,169390.221875,338.5224
11,169700.22396484375,0.001,336.12195,152682.65625,316.97852
12,153576.9476953125,0.001,315.6606,137912.400078125,297.1122
13,139068.638828125,0.001,295.81027,124600.8321484375,278.73636
14,126012.90578125,0.001,277.7368,112550.60322265625,260.8243
15,114171.5579296875,0.001,260.795,101711.3698046875,245.2223
16,103497.45481445313,0.001,245.80946,91921.5764453125,231.11122
17,93618.06036132813,0.001,231.44019,82612.3835546875,216.15614
18,84479.14637695313,0.001,217.11497,74407.0611328125,203.26202
19,76354.112890625,0.001,204.27419,67054.9291796875,190.66832
20,68999.62380859375,0.001,192.08722,60403.49282226562,179.4916
21,62426.32633789063,0.001,181.13164,54443.76497070312,168.5125
22,56448.273857421875,0.001,170.30562,49007.75040039062,157.64696
23,51059.453159179684,0.001,159.85194,44140.52790283203,147.03778
24,46154.25096679688,0.001,149.3479,39642.936484375,136.57669
25,41589.58528808594,0.001,138.59496,35690.51446533203,127.32992
26,37317.412490234376,0.001,127.15043,31691.849302978517,114.57932
27,33441.569685058595,0.001,116.68374,28378.765678710937,105.74708
28,30154.182270507812,0.001,108.89485,25408.534890136718,97.4008
29,27122.4959375,0.001,100.72442,22718.846766357423,89.35052
30,24343.208220214845,0.001,92.57727,20366.88437225342,83.02165
31,21928.162536621094,0.001,86.65047,18282.412124023438,77.51893
32,19755.41768066406,0.001,81.16181,16408.094228210448,72.599266
33,17788.015826416016,0.001,76.017235,14714.968331298827,68.09363
34,16020.612512207032,0.001,71.44179,13189.656471252441,63.71292
35,14413.585872802734,0.001,66.91145,11841.032616577148,59.67933
36,12971.126864013671,0.001,62.786106,10628.738852539063,55.85556
37,11645.205909423828,0.001,58.69905,9433.119935302735,51.487057
38,10396.273235473633,0.001,54.36514,8440.300239257813,48.303333
39,9338.571235351563,0.001,51.025913,7579.120155029297,45.32194
40,8396.253556518555,0.001,47.88709,6771.459167785644,42.25094
41,7596.621463012695,0.001,45.69111,6081.843906860351,39.49142
42,6806.868092651367,0.001,42.413235,5465.330507507324,37.13759
43,6131.199544677735,0.001,39.940395,4915.174503326416,35.02315
44,5528.206544189453,0.001,37.762154,4421.182219085694,33.186657
45,4976.984309997559,0.001,35.742363,3989.312247009277,31.59557
46,4484.715670166016,0.001,33.87655,3580.6789709472655,29.810795
47,4046.18727684021,0.001,32.141933,3244.382956085205,28.618965
48,3664.158448791504,0.001,30.686255,2938.479318389893,27.447966
49,3307.597987060547,0.001,29.127718,2637.290184173584,25.61053
50,2988.8923570251463,0.001,27.702406,2406.8835081481934,24.596798
51,2711.642671203613,0.001,26.510702,2176.6029504394533,23.60614
52,2459.4679307556153,0.001,25.34028,1979.177449798584,22.610596
53,2236.8233515930174,0.001,24.30897,1817.6668641662598,21.91131
