epoch,loss,lr,mae,val_loss,val_mae
0,505037.374375,0.001,667.373,469284.67,642.3768
1,463997.8484375,0.001,635.9237,430344.2140625,611.3312
2,425688.300546875,0.001,605.1045,393436.065625,580.36475
3,388881.48109375,0.001,573.8581,358156.628125,549.12317
4,354166.96921875,0.001,542.7796,325581.90578125,518.6233
5,322617.481796875,0.001,512.88275,295620.15640625,488.8769
6,291946.577578125,0.001,482.11835,265603.641328125,457.1712
7,262319.0262890625,0.001,450.32248,237357.500625,425.15
8,234678.761015625,0.001,418.52747,211959.890078125,394.17404
9,210103.68625,0.001,388.0792,189078.3675,364.3696
10,188197.5401953125,0.001,359.7611,168997.77125,337.84583
11,168729.2882421875,0.001,334.17868,151135.3367578125,313.55722
12,151454.68869140625,0.001,310.97803,135407.1684765625,291.95685
13,136253.2672265625,0.001,290.53537,121584.0891796875,272.22287
14,122792.37533203125,0.001,271.20563,109263.53873046875,254.01485
15,110720.49939453125,0.001,253.72742,98220.8953515625,237.283
16,99738.39448242188,0.001,236.28302,88076.4443359375,220.26512
17,89829.70227539062,0.001,221.1628,79096.57333984374,206.30817
18,80888.71059570313,0.001,207.40907,70863.9018359375,192.2221
19,72732.02987304688,0.001,193.4983,63480.876684570314,179.36696
20,65341.02875976563,0.001,180.10168,56680.807036132814,164.787
21,58579.95673828125,0.001,166.48087,50603.85724609375,152.67522
22,52544.41390136719,0.001,154.64888,45211.05193725586,141.19556
23,47142.95880859375,0.001,143.4004,40382.19440307617,130.39172
24,42314.96645996094,0.001,132.97693,36114.00344238281,120.66546
25,38011.926049804686,0.001,123.44415,32335.742421875,111.77713
26,34184.02174316406,0.001,114.67318,28967.009766845702,103.40381
27,30774.63121826172,0.001,106.62106,25988.259345092774,96.1469
28,27751.200307617186,0.001,99.741,23353.614140930174,89.8394
29,25038.61767578125,0.001,93.47263,20987.1852835083,83.72185
30,22584.995974121095,0.001,87.42801,18852.90198272705,78.25549
31,20356.199291992187,0.001,81.77353,16929.78960235596,73.38773
32,18351.031199951172,0.001,76.85035,15204.299363708496,68.751
33,16544.79165893555,0.001,72.34733,13661.628114013673,64.50044
34,14916.524729003906,0.001,68.08601,12259.866740722657,60.54558
35,13412.796346435547,0.001,63.55351,10998.292921142578,56.590195
36,12076.433266601562,0.001,59.75754,9851.503394470215,52.977024
37,10872.191350708008,0.001,56.143757,8830.7633984375,49.50398
38,9773.510530395508,0.001,52.51648,7925.0841120910645,46.1607
39,8812.027016601562,0.001,49.478035,7144.01561920166,43.880035
40,7939.136938476562,0.001,46.52219,6397.936141815186,40.76527
41,7149.575240478515,0.001,43.68133,5744.3424882507325,38.036312
42,6447.488718566895,0.001,41.181675,5184.4106465148925,36.20091
43,5821.74796508789,0.001,38.95905,4663.80089630127,34.15659
44,5260.020578613281,0.001,36.912663,4229.511211700439,32.821507
45,4744.414526367187,0.001,34.860546,3793.045354614258,30.536697
46,4287.646089477539,0.001,33.0813,3433.8820544433593,29.209103
47,3881.9955975341795,0.001,31.521292,3135.1617015075685,28.2302
48,3523.5579502868654,0.001,30.167387,2826.5830619812014,26.859068
49,3183.853179779053,0.001,28.588148,2539.7573887634276,25.19904
50,2894.272571105957,0.001,27.461676,2314.5608683776854,24.224106
51,2623.2834992980956,0.001,26.18552,2133.1352444458007,23.802082
52,2387.3877722167967,0.001,25.169407,1926.1252703857422,22.47296
53,2186.004786605835,0.001,24.373623,1762.8614115905762,21.54865
54,1985.2336949920655,0.001,23.276562,1613.0376499938966,21.01192
55,1815.7908841705323,0.001,22.434673,1494.3947651672363,20.51847
56,1666.6550370788575,0.001,21.712055,1376.9800727844238,19.770672
57,1536.643129272461,0.001,21.109344,1278.4745739746095,19.474417
58,1411.8456386566163,0.001,20.385075,1174.0557836914063,18.650475
59,1309.5436508178711,0.001,19.862682,1094.3263032531738,18.12691
60,1214.4493076324463,0.001,19.343262,1030.550461730957,17.943981
61,1135.2829009246825,0.001,18.95825,966.1405346679687,17.497229
62,1054.1200466918945,0.001,18.399086,915.4344418334961,17.381584
63,980.8712461853028,0.001,17.890856,862.4748736572266,17.130247
64,928.8080027008057,0.001,17.662415,828.114387512207,17.144215
65,882.7653629302979,0.001,17.464249,777.5940620422364,16.555038
66,822.8583462524414,0.001,16.90229,717.1741067504882,15.845505
67,783.7018025970459,0.001,16.68582,705.9812622070312,15.944911
68,758.0986012268066,0.001,16.63488,679.8172172546386,15.921637
69,698.9353352355957,0.001,15.908309,620.3771992492676,14.98207
70,664.5181582641602,0.001,15.625914,616.3049047851563,15.095054
71,636.3174371337891,0.001,15.399785,594.5260414123535,15.257462
72,622.2649398803711,0.001,15.440996,555.3276602172851,14.597211
73,586.5651129150391,0.001,15.004482,547.9058796691894,14.70423
74,575.1664920806885,0.001,15.026245,536.9345260620117,14.666018
75,552.1148509216308,0.001,14.791294,513.7232569885253,14.270469
76,534.3004747009277,0.001,14.625361,499.0359878540039,14.062536
77,516.6331449127197,0.001,14.469385,481.7218228149414,14.034099
78,532.3354954528809,0.001,14.895093,500.25264877319336,14.55173
79,495.08990997314453,0.001,14.322932,459.7416567993164,13.9603
80,490.0545198059082,0.001,14.324991,461.78885818481444,13.94526
81,487.2733716583252,0.001,14.379804,447.52194076538086,13.681904
82,504.2955732727051,0.001,14.540318,448.30864456176755,13.654569
83,476.8784447479248,0.001,14.202634,448.0967802429199,13.82629
