epoch,loss,lr,mae,val_loss,val_mae
0,86421.71435546875,0.001,139.71799,81213.35309709821,136.25798
1,77910.81729561942,0.001,133.48633,73678.95089285714,131.10689
2,70841.28510393415,0.001,128.8244,67074.61512974331,126.78565
3,64577.78338623047,0.001,124.84358,61146.95734514509,122.85742
4,58966.91519601004,0.001,121.231224,55874.70200892857,119.43712
5,53964.09769112723,0.001,117.95517,51152.919189453125,116.20429
6,49477.614022391186,0.001,114.88187,46919.67096819197,113.14354
7,45452.75470842634,0.001,111.96262,43122.07338169643,110.210625
8,41844.75153459822,0.001,109.14266,39720.44283621652,107.35134
9,38616.62459455217,0.001,106.45563,36683.45352608817,104.67682
10,35731.44181169783,0.001,103.8705,33969.74839564732,102.09227
11,33149.396915980746,0.001,101.3501,31520.4692905971,99.549225
12,30816.000549316406,0.001,98.88253,29336.671543666296,97.08446
13,28749.316576276506,0.001,96.49921,27402.330269949776,94.75449
14,26906.037950788224,0.001,94.222786,25654.625994001115,92.43386
15,25234.29794747489,0.001,91.947395,24093.11940220424,90.08358
16,23753.889848981584,0.001,89.734695,22705.931169782365,87.93607
17,22432.44924054827,0.001,87.63726,21469.09933035714,85.82185
18,21246.565547398157,0.001,85.5564,20351.765014648438,83.79971
19,20174.077992030554,0.001,83.59057,19340.66264125279,81.7772
20,19196.114750453406,0.001,81.63298,18414.93132672991,79.9215
21,18296.98390197754,0.001,79.78558,17560.72731236049,78.107956
22,17463.731726510185,0.001,77.97827,16764.29612513951,76.292984
23,16683.81999860491,0.001,76.20456,16019.293962751117,74.51326
24,15948.884543282646,0.001,74.51,15313.331821986607,72.87132
25,15249.934262956891,0.001,72.85152,14640.749049595424,71.205475
26,14581.628457205636,0.001,71.23154,13997.812177385602,69.58945
27,13938.055814470563,0.001,69.63148,13367.091055733817,68.02171
28,13291.755092075893,0.001,67.99554,12736.41322544643,66.41491
29,12672.673211233956,0.001,66.41501,12142.85196358817,64.94709
30,12079.917731148857,0.001,64.89728,11572.877903529576,63.3002
31,11510.21708897182,0.001,63.3611,11023.590401785714,61.838078
32,10959.442245483398,0.001,61.853172,10490.53355189732,60.47651
33,10401.133357456752,0.001,60.33433,9937.324332101005,58.76604
34,9860.66365814209,0.001,58.768147,9418.094024658203,57.390835
35,9337.130102975028,0.001,57.256893,8902.074292864118,55.81688
36,8816.449592590332,0.001,55.713943,8406.48269217355,54.307915
37,8325.650205339703,0.001,54.209713,7934.839433942522,52.862022
38,7857.3194416591095,0.001,52.75747,7487.002406529018,51.40171
39,7411.158754621233,0.001,51.315964,7056.083884102957,50.055164
40,6975.329062325613,0.001,49.898785,6636.671090262277,48.63455
41,6559.458952767508,0.001,48.477512,6237.137006487165,47.20771
42,6144.729152134487,0.001,47.02132,5818.188197544643,45.70981
43,5727.4956457955495,0.001,45.49592,5421.72953578404,44.253742
44,5324.549082074846,0.001,43.978104,5030.16257585798,42.76142
45,4932.1149499075755,0.001,42.44172,4652.205278669085,41.191334
46,4547.235782623291,0.001,40.86594,4282.793858119419,39.706726
47,4184.248916625977,0.001,39.32707,3933.079114641462,38.213192
48,3834.8162269592285,0.001,37.794903,3601.4231763567245,36.660423
49,3505.8234105791366,0.001,36.267227,3290.22533089774,35.189888
50,3199.5842623029434,0.001,34.803516,2999.768565586635,33.75094
51,2911.9638388497488,0.001,33.34358,2724.95579964774,32.392517
52,2638.8639046805247,0.001,31.889122,2461.9339000156947,30.832476
53,2379.413182122367,0.001,30.435472,2217.3550120762416,29.396488
54,2137.0426962716238,0.001,28.987543,1989.146933419364,28.065329
55,1913.2743772779193,0.001,27.59139,1775.362025669643,26.67279
56,1704.2226080213275,0.001,26.200674,1581.2922352382116,25.278801
57,1515.8525911058698,0.001,24.846289,1406.1377737862724,24.017288
58,1345.941189629691,0.001,23.546045,1249.8418633597237,22.77256
59,1181.1006915228706,0.001,22.161444,1086.6998797825404,21.338572
60,1034.4406929016113,0.001,20.875563,956.7354621887207,20.104996
61,910.7456703186035,0.001,19.681402,846.2164203098843,19.07923
62,802.4444735390799,0.001,18.5721,746.5657277788434,18.073116
63,708.574749810355,0.001,17.53848,658.9016854422433,16.964602
64,626.8917987687247,0.001,16.558876,587.9508669716971,16.072104
65,557.1466708183289,0.001,15.665417,522.6872267041888,15.210396
66,495.53461469922746,0.001,14.789272,467.5230394090925,14.369011
67,444.5668921470642,0.001,14.028229,420.6422653198242,13.670041
68,404.7690730776106,0.001,13.3726845,385.8780335017613,13.080994
69,367.1100978170122,0.001,12.638782,347.98175730024064,12.31614
70,333.0267404147557,0.001,12.019336,323.05030632019043,11.824015
71,304.7394622394017,0.001,11.444106,292.947019304548,11.218916
72,280.2104250703539,0.001,10.941391,271.4916733333043,10.771423
73,260.7376923901694,0.001,10.506935,254.4920791898455,10.433345
74,243.5901438508715,0.001,10.102956,237.31009973798479,10.024479
75,228.17424913815088,0.001,9.725881,223.30045822688513,9.658831
76,215.5698070526123,0.001,9.417779,212.92678356170654,9.429866
77,204.35163841928755,0.001,9.129323,200.651488167899,9.052823
78,191.67776840073722,0.001,8.811465,189.24314417157854,8.79031
79,182.2662741116115,0.001,8.593567,178.9964143208095,8.515665
80,172.6508673429489,0.001,8.329361,170.89401388168335,8.303959
81,163.55824026039667,0.001,8.068115,161.99132558277674,8.156924
82,154.11630017416817,0.001,7.846618,151.28393166405814,7.8105927
83,145.6552997146334,0.001,7.6503663,143.2073802947998,7.671433
84,138.10759939466203,0.001,7.458581,136.24574886049544,7.509074
85,129.50705104214805,0.001,7.212176,127.29608883176532,7.2487297
86,121.15859581742968,0.001,7.024222,119.8122284752982,7.04935
87,114.05741878918239,0.001,6.806104,113.1239241872515,6.8750496
88,104.72098524229867,0.001,6.562385,101.54054873330253,6.5297203
89,96.26196791444507,0.001,6.2987766,93.60250210762024,6.285427
90,86.74042981863022,0.001,6.0267806,85.75434371403286,5.9852333
91,79.44044353280749,0.001,5.756751,73.77379131317139,5.5071683
92,68.11458297286715,0.001,5.3028564,66.70466477530343,5.297747
