epoch,loss,lr,mae,val_loss,val_mae
0,86726.84835379464,0.001,139.70654,82055.89969308036,136.60126
1,78904.49032156808,0.001,134.0017,74803.56647600446,131.72276
2,72118.19815499442,0.001,129.50827,68495.14910016741,127.539764
3,66152.07087925503,0.001,125.70797,62864.341517857145,123.96656
4,60771.39465332031,0.001,122.318115,57746.05367606027,120.61903
5,55885.406938825334,0.001,119.13018,53116.22694614955,117.47289
6,51466.755501883374,0.001,116.17104,48926.8984375,114.49158
7,47467.00164794922,0.001,113.29267,45133.72317940848,111.57779
8,43846.61505126953,0.001,110.57266,41705.34211077009,108.8213
9,40578.5479649135,0.001,107.92229,38613.756103515625,106.23194
10,37629.02840314592,0.001,105.38674,35826.538330078125,103.722
11,34972.16657366072,0.001,102.965935,33317.69501604353,101.23643
12,32583.36922781808,0.001,100.566895,31065.718244280135,98.887054
13,30437.501988002234,0.001,98.28283,29043.731968470984,96.60345
14,28511.862884521484,0.001,96.07914,27230.676635742188,94.325645
15,26783.76083809989,0.001,93.89398,25606.37655203683,92.20525
16,25232.254778180803,0.001,91.78937,24146.09113420759,90.1692
17,23837.520642961776,0.001,89.78688,22831.91414969308,88.04486
18,22580.49946812221,0.001,87.77151,21648.478323800224,86.08897
19,21438.625928606307,0.001,85.82933,20549.270699637276,84.1125
20,20369.318485804968,0.001,83.87724,19541.145621163505,82.14723
21,19400.997120448523,0.001,81.98462,18628.48334612165,80.3241
22,18515.00233023507,0.001,80.17327,17786.06905691964,78.51305
23,17694.619319370813,0.001,78.42369,17004.299665178572,76.75404
24,16929.497491019112,0.001,76.72399,16273.02352469308,75.090675
25,16208.521721976143,0.001,75.06254,15580.886736188617,73.43649
26,15524.739780970982,0.001,73.47493,14923.7463117327,71.78696
27,14872.577429635185,0.001,71.88707,14293.553780691964,70.2707
28,14245.902596609933,0.001,70.34816,13688.021153041294,68.87141
29,13642.639354160854,0.001,68.851234,13104.013148716518,67.36484
30,13059.242819649833,0.001,67.38793,12524.02454485212,65.827385
31,12439.606985909599,0.001,65.78215,11908.296883719308,64.22941
32,11827.177867344448,0.001,64.158,11320.046456473214,62.65721
33,11248.420802525112,0.001,62.620262,10736.628696986607,61.06164
34,10621.805799211774,0.001,60.877197,10129.933122907367,59.374546
35,10042.762179783413,0.001,59.256176,9584.930746895927,57.866463
36,9501.42630985805,0.001,57.72393,9053.516671316964,56.145664
37,8962.781522478375,0.001,56.096478,8538.937155587333,54.66892
38,8444.909154619489,0.001,54.545155,8027.497589111328,53.119255
39,7928.70599256243,0.001,52.930393,7535.573477608817,51.45969
40,7440.298149108887,0.001,51.34396,7070.772077287947,49.953194
41,6976.606117248535,0.001,49.80107,6624.691467285156,48.45993
42,6531.616052900042,0.001,48.30579,6185.08576311384,46.862183
43,6080.030961172922,0.001,46.693275,5747.60753086635,45.331837
44,5631.862808227539,0.001,45.051414,5303.587341308594,43.692234
45,5197.8692943028045,0.001,43.37191,4897.542199271066,42.060513
46,4797.350719451904,0.001,41.773773,4519.535029820034,40.483494
47,4424.8214111328125,0.001,40.237286,4167.705679757254,39.00411
48,4072.549162183489,0.001,38.74135,3827.405707223075,37.541763
49,3733.209125518799,0.001,37.221832,3503.581281389509,36.05366
50,3415.3944571358816,0.001,35.735878,3204.8353729248047,34.682804
51,3119.7811077662877,0.001,34.324287,2923.392116001674,33.242065
52,2840.482079914638,0.001,32.89385,2659.0115596226283,31.85976
53,2583.363437107631,0.001,31.522108,2416.391882760184,30.571785
54,2342.337513787406,0.001,30.16847,2187.4890845162527,29.229288
55,2116.1550295693532,0.001,28.834785,1973.7471531459264,27.934973
56,1903.581685747419,0.001,27.483404,1772.7002694266182,26.65048
57,1709.926816395351,0.001,26.209461,1592.421243940081,25.351692
58,1534.0363971165248,0.001,24.962168,1429.2747464861188,24.209599
59,1374.7488427843366,0.001,23.76894,1280.4471958705358,23.005138
60,1229.8203278950282,0.001,22.617676,1145.3040553501673,21.90174
61,1089.771317073277,0.001,21.396969,1009.6677769252232,20.666016
62,965.8949358803885,0.001,20.26087,898.4848812648228,19.625252
63,852.4787190301078,0.001,19.138134,786.2241259983608,18.43833
64,748.421797479902,0.001,18.014463,701.0447905404227,17.533981
65,661.3554126875741,0.001,16.998962,615.157203401838,16.408075
66,585.487181527274,0.001,16.044432,547.1969187600272,15.558765
67,521.4042170388358,0.001,15.173999,489.5787601470947,14.713093
68,467.435117994036,0.001,14.388875,441.47015626089916,14.001008
69,420.62379237583707,0.001,13.647994,398.9582099914551,13.292555
70,381.29811900002613,0.001,12.999327,367.8740885598319,12.716897
71,349.79509462629045,0.001,12.412108,335.2074571337019,12.148697
72,321.69509376798356,0.001,11.861501,310.8355565752302,11.66505
73,300.07575379099166,0.001,11.406411,293.34255150386264,11.25008
74,279.74359498705184,0.001,10.954231,273.7355079650879,10.869772
75,262.65702360016957,0.001,10.55751,256.79841477530346,10.421395
76,247.74517706462316,0.001,10.18407,243.6592674255371,10.114955
77,234.27167875426156,0.001,9.849494,235.2122381755284,9.842343
78,222.2888710839408,0.001,9.527811,219.4003550665719,9.461652
79,211.01436741011483,0.001,9.258302,208.55466052464075,9.207261
80,200.20726329939706,0.001,9.001504,197.48436737060547,8.939936
81,189.66239707810539,0.001,8.74831,189.04635613305229,8.784596
82,180.52691675935472,0.001,8.518619,177.30895696367537,8.533381
83,169.23210734980447,0.001,8.258318,166.79609285082137,8.287087
84,158.81626672404153,0.001,7.984542,157.2261439050947,7.979403
85,148.85575226375036,0.001,7.7161674,147.68927574157715,7.742017
86,138.24996548039573,0.001,7.4502225,137.1590144974845,7.453403
87,129.29513263702393,0.001,7.2007,126.2366578238351,7.207922
88,120.69045553888593,0.001,7.006719,120.95001213891166,7.0826483
89,112.35517178262982,0.001,6.7496557,107.72019120625087,6.7146277
90,102.03466759409223,0.001,6.4376035,98.25254917144775,6.294438
91,90.93227710042682,0.001,6.0258203,87.76029113360813,5.9566107
92,82.82378935813904,0.001,5.7508187,82.39391504015241,5.8242955
93,77.7392915061542,0.001,5.591851,76.34160631043571,5.544228
94,72.7073848077229,0.001,5.391247,78.05442547798157,5.8095345
95,69.13061395713261,0.001,5.274878,66.2407693862915,5.1681414
96,62.50346551196916,0.001,4.9654756,62.415020091193064,5.0313277
97,58.46993226664407,0.001,4.7924204,57.855095284325735,4.7931356
98,54.42519178560802,0.001,4.6106796,54.289633410317556,4.6176567
99,51.25160625151226,0.001,4.480343,51.20283024651663,4.531085
100,47.91203517573221,0.001,4.3346047,48.2445638350078,4.377676
101,45.00226638572557,0.001,4.1937103,45.91943982669285,4.282557
102,43.04048912865775,0.001,4.1385884,44.76534291676113,4.334533
103,40.08048973764692,0.001,3.959792,39.189121212278096,3.8881578
104,38.61348669018064,0.001,3.9119768,38.485951628003804,3.925771
105,35.78111849299499,0.001,3.7519715,36.06334873608181,3.7253215
106,32.7840878367424,0.001,3.5552893,32.81949746608734,3.5410028
107,30.806028131927764,0.001,3.4587784,31.586556264332362,3.465722
108,28.88145127253873,0.001,3.343917,29.693132434572494,3.3889031
109,27.121602922677994,0.001,3.231436,28.096792357308523,3.3145256
110,27.32390551481928,0.001,3.282566,27.18090353693281,3.246032
111,24.87348540340151,0.001,3.1136234,24.62199811424528,3.0653565
112,22.859804604734695,0.001,2.9836538,23.799982709544047,3.059808
113,21.441937125154904,0.001,2.8913264,22.308298579284124,2.9782257
114,20.371927693486214,0.001,2.8147883,21.001506200858525,2.897793
115,19.381731478231295,0.001,2.7662706,20.5299597297396,2.8027406
116,18.457626330001013,0.001,2.6831665,19.40394174201148,2.762788
117,17.297598251274653,0.001,2.6048396,17.91969225236348,2.643933
118,16.477632931300572,0.001,2.525014,17.636803873947688,2.6059306
119,15.945381158164569,0.001,2.508117,16.827162648950303,2.5897129
120,15.116782761045865,0.001,2.4314656,17.562503916876658,2.6879988
121,14.8167934098414,0.001,2.428713,14.924420020409993,2.3811965
122,17.76959519301142,0.001,2.6238298,17.938508655343735,2.6113808
123,16.339236063616617,0.001,2.4990098,16.162644462926046,2.428328
124,15.154113672673702,0.001,2.3981526,16.162602594920568,2.527444
125,14.392808404351983,0.001,2.3538356,15.579545966216497,2.5028667
126,13.627460852265358,0.001,2.2941883,19.775327222687856,3.0395145
127,12.472430239830699,0.000100000005,2.113421,12.658327507121223,2.0777223
128,11.633355701608318,0.000100000005,2.0145435,12.47509638752256,2.057605
129,11.482810497283936,0.000100000005,1.9990621,12.34941200699125,2.044549
130,11.360766239464283,0.000100000005,1.9850065,12.267222102199282,2.043846
131,11.258890042347568,0.000100000005,1.9772122,12.18540009856224,2.0348096
132,11.163710579808269,0.000100000005,1.9668697,12.037965995924813,2.0144901
133,11.064066950763975,0.000100000005,1.9580499,11.939027999128614,2.0042696
134,10.963714585772582,0.000100000005,1.9471334,11.878389630998884,2.002912
135,10.886783640299525,0.000100000005,1.9385691,11.73422738483974,1.9803436
136,10.767605457987104,0.000100000005,1.92403,11.654307846512113,1.9775851
137,10.685018420219421,0.000100000005,1.9163933,11.560251721314021,1.9643424
138,10.594110842261996,0.000100000005,1.9085791,11.424515681607383,1.9488993
139,10.501500076481275,0.000100000005,1.8991524,11.366717108658381,1.9479451
140,10.405101308865207,0.000100000005,1.8884512,11.240910002163478,1.9340836
141,10.310567849448748,0.000100000005,1.8803123,11.124392811741147,1.9205244
142,10.217454900699002,0.000100000005,1.8711236,11.080909682171685,1.9320965
143,10.116949728557042,0.000100000005,1.8632957,10.9495475930827,1.9149984
144,10.016999109515123,0.000100000005,1.849845,10.819393157958984,1.892185
145,9.917191824742726,0.000100000005,1.8437417,10.706698673112053,1.8823627
146,9.817055752234799,0.000100000005,1.8314439,10.609838089772634,1.8681457
147,9.731717995234899,0.000100000005,1.8263557,10.560797589165825,1.8803902
148,9.623107915478093,0.000100000005,1.8127426,10.44079310127667,1.8551394
149,9.523687389280115,0.000100000005,1.8049887,10.276825892073768,1.8450208
