epoch,loss,lr,mae,val_loss,val_mae
0,94967.32228306362,0.001,154.45659,93351.935546875,154.02591
1,89942.64238630023,0.001,150.5224,87428.572265625,149.96979
2,83076.03076171875,0.001,146.08052,79575.18429129464,144.85144
3,74583.2693219866,0.001,141.00887,70434.19597516741,139.62224
4,65162.99890136719,0.001,135.38315,60722.48737444197,133.08643
5,55523.442818777905,0.001,128.15642,51106.05897739955,125.04586
6,46193.99064418248,0.001,119.52297,42012.664829799105,115.66903
7,37561.98081752232,0.001,109.642494,33773.90637207031,105.174164
8,29889.381975446428,0.001,99.1205,26601.246337890625,94.59175
9,23339.372589111328,0.001,88.35965,20569.27543422154,83.46496
10,17923.897040230888,0.001,77.57869,15700.492937360492,72.94659
11,13631.880632672992,0.001,67.29291,11920.304203578404,63.250896
12,10351.789473397392,0.001,57.758205,9084.641597202846,53.911415
13,7956.633196149553,0.001,50.053722,7063.092908586775,48.0072
14,6255.804818834577,0.001,44.753044,5604.132500784738,42.781
15,5077.353393009731,0.001,41.191532,4602.36457824707,39.694603
16,4123.476207188198,0.001,37.37912,3612.790500095912,34.89322
17,3188.8204528263636,0.001,32.08955,2800.140926906041,30.220095
18,2483.556765147618,0.001,28.139511,2176.676971435547,26.940086
19,1958.1722030639648,0.001,25.058958,1811.7596212114606,24.971485
20,1548.6007907049996,0.001,22.276726,1394.5539975847516,21.453947
21,1252.421328135899,0.001,20.002386,1132.8167939867292,19.323683
22,1022.9400995799473,0.001,18.143549,899.5333889552525,17.171164
23,841.0229683603559,0.001,16.420774,764.2113639286587,16.053274
24,723.7350853511265,0.001,15.2721405,656.5717438289097,14.87313
25,604.9510834557669,0.001,13.821317,586.1752414703369,13.796722
26,539.376065322331,0.001,12.976596,525.4112217766898,12.952993
27,489.3206362043108,0.001,12.338239,449.1891912732805,11.866853
28,442.8966428211757,0.001,11.503314,402.7089339665004,11.142169
29,417.80157818113054,0.001,11.179676,386.57725674765453,10.929355
30,388.27099224499295,0.001,10.718175,342.4081859588623,10.139996
31,365.49924366814747,0.001,10.259005,362.9750369616917,10.32184
32,364.5449833188738,0.001,10.170543,337.6118321418762,10.026215
33,329.21371105739047,0.001,9.532258,312.5870569774083,9.360104
34,339.0802488667624,0.001,9.581014,306.03568860462735,9.098349
35,312.70328674997603,0.001,9.088033,307.1674324444362,9.240076
36,321.6079294681549,0.001,9.328406,343.5093457358224,10.482133
37,308.14364528656006,0.001,9.122012,289.14162976401195,9.323676
38,304.9231871196202,0.001,8.914957,284.15528072629655,8.6301985
39,302.74259413991655,0.001,8.912439,283.27005325044905,8.860029
40,304.41954439026966,0.001,8.95542,279.4370560646057,8.5339775
41,313.36119971956526,0.001,9.125153,298.67819704328264,8.951225
42,302.2075980731419,0.001,8.867292,285.3380445071629,8.614774
43,297.85042323384965,0.001,8.788775,282.2338690076555,8.660354
44,294.37313972200667,0.001,8.852323,275.57301180703297,8.381373
45,288.4148362704686,0.001,8.611097,268.8572986466544,8.367148
46,287.3158095904759,0.001,8.467402,256.9396121161325,8.127995
47,288.43717173167636,0.001,8.647864,266.61739717211043,8.301674
48,288.31095923696245,0.001,8.537884,292.6902086394174,8.742219
49,283.7457306725638,0.001,8.476977,311.70880344935824,9.172005
50,281.8237937177931,0.001,8.469372,282.12873254503523,8.245388
51,328.510629926409,0.001,8.86317,336.309693472726,9.306826
52,275.4052829401834,0.000100000005,7.678808,271.8466053009033,7.631792
53,269.8585772514343,0.000100000005,7.5217443,273.13246134349276,7.6779566
54,267.4250616005489,0.000100000005,7.470465,273.91624396187916,7.68241
55,265.42136011804854,0.000100000005,7.4346895,274.00632667541504,7.6510944
56,263.6793657711574,0.000100000005,7.4102554,269.6879209109715,7.5184364
57,259.37142183099473,1.0000001e-05,7.3044863,268.13198375701904,7.487525
58,258.74135906355724,1.0000001e-05,7.2968507,268.4175639833723,7.478767
59,258.4537869180952,1.0000001e-05,7.291874,268.60865892682756,7.492273
60,258.4969101292746,1.0000001e-05,7.298759,268.20482553754533,7.478568
61,258.4768103190831,1.0000001e-05,7.295947,267.9021442958287,7.482922
