epoch,loss,lr,mae,val_loss,val_mae
0,94150.91779436384,0.001,153.54414,90225.67878069196,152.15564
1,85544.48216029575,0.001,148.48112,82360.66033063616,147.75508
2,78398.20944649832,0.001,144.3002,75657.77026367188,143.67206
3,72097.20818219866,0.001,140.72481,69677.29572405134,140.35373
4,66459.00515311105,0.001,137.54738,64287.414341517855,137.26617
5,61359.38912527902,0.001,134.55377,59398.50983537947,134.12595
6,56728.119916643416,0.001,131.58597,54950.537109375,131.16902
7,52520.38424246652,0.001,128.66928,50914.10728236607,128.27635
8,48696.98890904018,0.001,125.912796,47244.854736328125,125.31844
9,45223.433131626676,0.001,123.124886,43905.196306501115,122.62237
10,42078.40731375558,0.001,120.40307,40890.61853027344,119.98704
11,39231.771837506974,0.001,117.8201,38159.89739118303,117.39108
12,36658.982308524,0.001,115.30836,35693.26522391183,114.78255
13,34321.87091064453,0.001,112.744316,33434.069545200895,112.27215
14,32190.815325055803,0.001,110.263115,31391.726946149553,109.73486
15,30275.847952706474,0.001,107.86375,29559.300223214286,107.287186
16,28552.25691005162,0.001,105.46328,27905.527971540178,104.98541
17,26999.409340994698,0.001,103.23185,26413.811000279016,102.618225
18,25596.946764264787,0.001,100.93306,25066.363795689173,100.51674
19,24300.86283656529,0.001,98.73851,23799.52122279576,98.20118
20,23117.766379220146,0.001,96.51094,22665.216055733817,96.0046
21,22038.59820120675,0.001,94.36855,21620.448747907365,93.90757
22,21032.871080671037,0.001,92.36057,20606.03169468471,91.79668
23,20034.719547816687,0.001,90.22511,19657.660226004464,89.8076
24,19116.44079371861,0.001,88.17712,18743.064470563615,87.719864
25,18249.849184308732,0.001,86.13134,17894.032871791296,85.762474
26,17411.988379342216,0.001,84.156204,17081.63396344866,83.73059
27,16589.831529889787,0.001,82.22241,16228.067156110492,81.72075
28,15761.594619750977,0.001,80.16111,15426.685433523995,79.75504
29,14992.575929914203,0.001,78.2635,14661.833574567523,77.80708
30,14233.061115809849,0.001,76.30427,13902.756356375558,75.80792
31,13485.569588797433,0.001,74.343315,13199.633893694196,73.985115
32,12804.805038452148,0.001,72.542984,12525.859998430524,72.2859
33,12165.47274344308,0.001,70.89504,11893.21888078962,70.44098
34,11549.77485874721,0.001,69.22469,11315.444370814732,68.915306
35,10985.97428894043,0.001,67.62323,10765.519901820591,67.35349
36,10455.725450788226,0.001,66.1823,10244.05725969587,65.83959
37,9943.850062779018,0.001,64.698494,9757.028206961495,64.31425
38,9492.147253853935,0.001,63.295273,9313.129050118583,63.05514
39,9055.858633858817,0.001,62.017197,8887.641183035714,61.59213
40,8652.874677385602,0.001,60.64024,8517.076651436942,60.444515
41,8301.022884913853,0.001,59.512856,8177.992749895368,59.260258
42,7978.417517525809,0.001,58.412098,7868.942901611328,58.18003
43,7677.535683768137,0.001,57.276302,7571.13703264509,57.00551
44,7384.03636278425,0.001,56.134327,7269.1748613630025,55.766575
45,7092.39264351981,0.001,54.91872,7002.86261858259,54.724857
46,6846.4107339041575,0.001,54.029396,6768.498944963728,53.777805
47,6551.9017977033345,0.001,52.714687,6443.853267124721,52.349743
48,6296.087350027902,0.001,51.68435,6226.0076577322825,51.505955
49,6068.998483930315,0.001,50.67799,5992.03676714216,50.42634
50,5838.340221949986,0.001,49.82622,5767.868604387556,49.649063
51,5633.586146763393,0.001,48.876957,5553.455854143415,48.641296
52,5423.675746372768,0.001,47.889927,5360.050783429827,47.692684
53,5234.783697400774,0.001,46.965263,5159.959115164621,46.63666
54,5036.851685115269,0.001,45.932167,4978.798597063337,45.775085
55,4845.407935551235,0.001,44.97182,4774.847767421177,44.795036
56,4655.2204012189595,0.001,44.148872,4595.414265223912,43.983986
57,4482.774592263358,0.001,43.350857,4420.420737130301,43.233284
58,4315.979838779995,0.001,42.533348,4264.821040562221,42.335842
59,4165.628868103027,0.001,41.671944,4105.609157017299,41.47005
60,4009.006875174386,0.001,40.832893,3957.8085021972656,40.696102
61,3870.095498766218,0.001,40.069122,3817.1974203927175,39.939823
62,3730.752617427281,0.001,39.362885,3665.7219674246653,39.272892
63,3573.9166897365026,0.001,38.69566,3521.7889295305527,38.470474
64,3439.4327681405202,0.001,37.897976,3389.543908255441,37.70571
65,3311.9947692326136,0.001,37.147907,3262.6016006469727,36.939823
66,3165.9684252057755,0.001,36.1857,3112.5691408429825,36.03177
67,3040.0759953090123,0.001,35.473133,2994.212692260742,35.294937
68,2931.298841203962,0.001,34.781616,2887.505302429199,34.758934
69,2740.231077194214,0.001,33.41069,2671.9256221226283,33.292778
70,2568.109667096819,0.001,32.27237,2484.012005397252,31.703138
71,2374.201338359288,0.001,30.911524,2316.7974679129466,30.761
72,2253.6470012664795,0.001,30.068357,2208.9774257114955,29.955372
73,2150.4145338875906,0.001,29.287775,2110.084038870675,29.1476
74,2026.4026467459541,0.001,28.548944,1984.0375213623047,28.320787
75,1904.0400096348353,0.001,27.681368,1842.111198425293,27.218672
76,1788.123328617641,0.001,26.632004,1743.1188561575752,26.531797
77,1696.457046508789,0.001,25.910225,1639.132040841239,25.808
78,1572.932003702436,0.001,24.996937,1519.9313071114677,24.699137
79,1479.6003148215157,0.001,24.148958,1436.5108876909528,23.913631
80,1379.640185219901,0.001,23.207672,1306.6567148481097,22.42266
81,1266.4640929358345,0.001,22.00278,1226.118762425014,21.661497
82,1190.108988080706,0.001,21.215652,1156.4784257071358,20.97415
83,1114.9938035692487,0.001,20.40306,1080.5244549342565,20.085854
84,1047.6413175037928,0.001,19.701355,1007.9564228057861,19.360394
85,979.0188681738717,0.001,18.982862,944.7428294590542,18.757225
86,919.8504433631897,0.001,18.36007,888.7399586268833,18.105146
87,863.836551461901,0.001,17.760439,836.1080641065325,17.589357
88,811.3800373077393,0.001,17.137466,777.0763756888254,17.077198
89,756.1207987240383,0.001,16.594612,730.8450608934675,16.476252
90,702.6093147822788,0.001,15.882777,677.1325002397809,15.71915
91,654.2612574441092,0.001,15.320522,641.6095036097935,15.647584
92,604.9171817643302,0.001,14.688249,578.651069504874,14.508121
93,567.3223570414951,0.001,14.163008,543.5226409094674,14.06557
94,525.5970170838492,0.001,13.555552,489.33615589141846,13.069873
95,477.75580590111866,0.001,12.785779,454.6277539389474,12.629717
96,439.6319163526808,0.001,12.161535,411.6643190383911,11.793947
97,403.4821288245065,0.001,11.576041,383.12848172869,11.432178
98,375.8073130335127,0.001,11.161673,355.2440046582903,11.015914
99,347.4084917136601,0.001,10.713279,325.20615427834645,10.395352
100,315.908501965659,0.001,10.074584,296.8496230670384,9.980955
101,289.39733386039734,0.001,9.68714,269.5339320727757,9.44887
102,265.9045138018472,0.001,9.162682,250.2008012362889,9.016125
103,247.496059690203,0.001,8.77419,236.01805986676897,8.711801
104,236.09935583387102,0.001,8.682006,218.4347656113761,8.340209
105,219.14882276739394,0.001,8.323461,201.73329339708602,8.029452
106,204.9223175730024,0.001,7.979997,191.54115387371607,7.7708106
107,189.20111831596918,0.001,7.5458536,176.93377539089747,7.3709655
108,176.6277699640819,0.001,7.2397065,165.62438729831152,7.1207
109,297.75728779179707,0.001,10.289752,247.0826254572187,9.399729
110,234.23518666199274,0.001,8.867952,208.55004324231828,8.37652
111,210.2956361600331,0.001,8.286615,195.0768018109458,8.141345
112,193.95339160306114,0.001,7.883282,178.70254594939095,7.6671166
113,177.77175625732966,0.001,7.466544,164.7677797930581,7.3065186
114,163.3882314477648,0.001,7.1168947,151.1033809866224,6.969931
115,151.79856657981873,0.001,6.8070374,139.53940534591675,6.633509
