epoch,loss,lr,mae,val_loss,val_mae
0,0.10371054178020651,0.001,0.1953215,0.022245222187068845,0.11071036
1,0.016909807284329354,0.001,0.09575303,0.013834504252632282,0.086156465
2,0.011272525170560195,0.001,0.07741784,0.00990065953893853,0.0722535
3,0.008164351486941866,0.001,0.0649574,0.007336816257780551,0.06092348
4,0.006229018332565569,0.001,0.056288745,0.005561727851662519,0.053061895
5,0.004693131894392926,0.001,0.048418205,0.004426212931450989,0.04744771
6,0.0037959717867904275,0.001,0.043574423,0.0033432297568651848,0.040716678
7,0.003143266729239258,0.001,0.039275005,0.0029437429246692254,0.038429774
8,0.002626300856198733,0.001,0.035920247,0.002677438085291734,0.036822975
9,0.0022201942083484028,0.001,0.033094097,0.0021553161880417194,0.03305014
10,0.001836592046207183,0.001,0.030121835,0.0017546606104588136,0.02971353
11,0.0015974590380989997,0.001,0.028202489,0.001584143633538458,0.028286746
12,0.0013873872033270476,0.001,0.026250822,0.0012019605949587589,0.024295997
13,0.001227637297493597,0.001,0.024831533,0.001313516895606881,0.02589332
14,0.00099954043883242,0.001,0.022436043,0.0009328299170842261,0.021652734
15,0.0009158433817252184,0.001,0.021839064,0.0007556251353629964,0.019337017
16,0.0007803338964679694,0.001,0.020054437,0.0007206649645792952,0.018708812
17,0.0006753176090959252,0.001,0.01869677,0.0007183833149611019,0.019591674
18,0.0005762847354812298,0.001,0.01729194,0.000564156489677511,0.017032316
19,0.0005250881593903094,0.001,0.016594373,0.0005304984515532851,0.017011065
20,0.0005115053607888902,0.001,0.01650403,0.00044415961123637056,0.015728332
21,0.00044960634379874264,0.001,0.015451623,0.00052587248969108,0.016301304
22,0.0004095187897032052,0.001,0.01476724,0.00040799395823601766,0.015201315
23,0.00037178713754266416,0.001,0.014052165,0.00046037785848186886,0.01614557
24,0.00035801026966250253,0.001,0.013805365,0.00036858179035854325,0.014173536
25,0.0003500594355045905,0.001,0.013715498,0.0002859094752888528,0.0122022005
26,0.0003382984974840448,0.001,0.01358605,0.0003420434599580143,0.013815509
27,0.0002885610830227441,0.001,0.012424699,0.00026531318599154474,0.011783841
28,0.0003016123634681987,0.001,0.012784761,0.00030207200636920916,0.013092183
29,0.0003215412904670042,0.001,0.01332049,0.00023258024001344374,0.011164687
30,0.0002699832641935375,0.001,0.012144865,0.0003521644351037269,0.01378187
31,0.0002751798947753871,0.001,0.012288947,0.00033136574568613596,0.013853961
32,0.0005051081634519505,0.001,0.016449725,0.0002947119262119356,0.012880865
33,0.00020338860576885054,0.001,0.010358821,0.000278991475300115,0.012527418
34,0.00020469271781361646,0.001,0.010497175,0.00020414175534304895,0.010505445
35,0.0002138907779811104,0.001,0.010817426,0.0001876896754505911,0.010378953
36,0.00017970292234232538,0.001,0.009764567,0.00017285824385128632,0.00985028
37,0.0004813568199811665,0.001,0.015688088,0.00026033482702457277,0.012580358
