epoch,loss,lr,mae,val_loss,val_mae
0,0.03944026316146067,0.001,0.07918818,0.005373540991318545,0.020561853
1,0.003940568113778552,0.001,0.01715507,0.0028422809077060913,0.014330066
2,0.0021504368640827515,0.001,0.012780638,0.0016106201250555127,0.0114780525
3,0.001229459600446197,0.001,0.010255844,0.0009414933499231536,0.009645134
4,0.000721304913570618,0.001,0.008688554,0.0005576666917477269,0.00812621
5,0.00043693577059197457,0.001,0.007439902,0.0003537053159691693,0.007223398
6,0.0002800833101121368,0.001,0.0065209926,0.0002369207496875398,0.0063304217
7,0.00019462493280895745,0.001,0.005905814,0.00017199647137593793,0.005899039
8,0.00014397386576092686,0.001,0.005404679,0.00013147791274345115,0.0054014935
9,0.0001140474749295858,0.001,0.0050404356,0.00011117523084586927,0.0051818835
10,9.410828312996143e-05,0.001,0.004760028,8.666866366573751e-05,0.0044379956
11,7.964025106080694e-05,0.001,0.0044596237,7.646892192626962e-05,0.0044400846
12,6.997924395234025e-05,0.001,0.0043038805,6.71853597395966e-05,0.0042540743
13,6.348993723089993e-05,0.001,0.0042356546,6.656283955765372e-05,0.004606474
14,5.84623333890834e-05,0.001,0.0041607255,5.836160252264173e-05,0.004339332
15,5.413546841737116e-05,0.001,0.004068579,5.633321045804353e-05,0.0042590536
16,5.0161802944005884e-05,0.001,0.00396315,5.332634784086362e-05,0.004209134
17,4.809841480632063e-05,0.001,0.003980799,4.954102416832029e-05,0.003992297
18,4.5025821317982005e-05,0.001,0.003908016,4.543798927768096e-05,0.0039059254
19,4.693231055544597e-05,0.001,0.004152783,5.8201629469424786e-05,0.004729082
20,5.001188169525709e-05,0.001,0.0044629793,4.418605293007464e-05,0.004151431
21,4.3515967251193744e-05,0.001,0.0041084224,6.375151971431998e-05,0.005218414
22,4.9630699014155e-05,0.001,0.0044936896,4.978082139522095e-05,0.0045478907
23,4.124985741782439e-05,0.001,0.0040521002,4.1878563625427235e-05,0.003968929
24,4.554097844788885e-05,0.001,0.004388939,4.645329772756668e-05,0.0044607865
25,4.4595389161778644e-05,0.001,0.0043687937,5.0072856213643847e-05,0.0049882135
26,4.4648540405692726e-05,0.001,0.004427488,3.786954841546374e-05,0.0040300423
27,4.5796236893888166e-05,0.001,0.004558653,5.018452957626453e-05,0.004865004
28,4.3923475971041626e-05,0.001,0.004432592,4.6622479333434186e-05,0.0047597354
29,4.994336045781113e-05,0.001,0.00482344,7.855494082572736e-05,0.006457172
30,5.066871037229248e-05,0.001,0.004949737,9.024334492226314e-05,0.0073089064
31,5.876296802804453e-05,0.001,0.0053707133,3.0128317161727735e-05,0.0032102312
32,4.6903177852592694e-05,0.001,0.0046872343,4.568468771789672e-05,0.00509014
33,4.143213676245848e-05,0.001,0.0043765428,3.992224170750498e-05,0.0045032846
34,4.0093964660822424e-05,0.001,0.0043782606,5.185081801885515e-05,0.0051446036
35,5.4308844856417894e-05,0.001,0.005139976,5.436831372662709e-05,0.0052791773
36,3.267499956954063e-05,0.001,0.0038283234,4.1894043355179224e-05,0.0047565363
37,1.8628170077964308e-05,0.000100000005,0.002408799,1.8527633049611074e-05,0.0023053093
38,1.7338602804427084e-05,0.000100000005,0.002233684,1.841041138764662e-05,0.0022944154
39,1.7217324524056365e-05,0.000100000005,0.0022208982,1.8361001114694125e-05,0.0023094933
40,1.7205490907810728e-05,0.000100000005,0.0022293446,1.8167717306433978e-05,0.0022876086
